list_price,num_reviews,piece_count,play_star_rating,prod_id,review_difficulty,star_rating,val_star_rating
29.99,21,494,4.6,70611,Average,4.5,4.8
29.99,10,312,3.5,70608,Easy,4,3.6
29.99,6,341,4.4,70609,Easy,4.3,4.2
29.99,7,341,4.2,70610,Average,4.6,4.6
19.99,3,257,5,70638,Average,5,5
19.99,8,217,4.1,70629,Easy,3.6,4.1
19.99,18,233,4.6,70607,Easy,4.6,4.5
19.99,,131,,10755,,,
9.99,1,48,5,70628,Very Easy,5,5
9.99,,61,,70633,,,
9.99,1,68,4,70635,Very Easy,4,3
9.99,2,73,5,70637,Easy,5,3.5
9.99,11,109,4.5,70606,Easy,4.7,4.8
9.99,,69,,70634,,,
9.99,,69,,70636,,,
9.99,7,102,4,41487,Easy,5,4.7
9.99,5,89,3.2,41488,Very Easy,4.4,4
79.99,8,754,4.6,70605,Average,4.5,4.1
39.99,6,439,4.8,70592,Average,4.8,4.8
